Name,Rating,Change,Position,PositionChange
Mathieu VAN DER POEL,2231.2,0.0,1,0
Thibau NYS,2173.4,0.0,2,0
Joris NIEUWENHUIS,2172.6,19.6,3,2
Lars VAN DER HAAR,2150.7,-5.7,4,0
Eli ISERBYT,2148.8,0.0,5,1
Toon AERTS,2136.4,-9.9,6,1
Niels VANDEPUTTE,2134.5,6.7,7,2
Wout VAN AERT,2133.8,0.0,8,0
Emiel VERSTRYNGE,2094.4,0.0,9,1
Michael VANTHOURENHOUT,2092.7,-70.8,10,-7
